created_at,message_experience,persuasion,number_of_recipients,is_first_email,is_last_email,is_verbose,is_replied_within_30,is_accepted_patch
2021-09-01 00:00:00+00:00,23.39,8.32,5.37,5.37,4.79,7.57,7.57,7.6
2021-09-01 00:02:00+00:00,23.02,8.93,5.95,5.95,4.6,8.5,8.5,7.78
2021-09-01 00:04:00+00:00,25.49,10.1,5.84,5.84,5.7,8.07,8.07,7.64
2021-09-01 00:06:00+00:00,25.22,9.24,7.07,7.07,5.18,8.66,8.66,7.6899999999999995
2021-09-01 00:08:00+00:00,23.16,9.02,5.18,5.18,5.29,7.98,7.98,7.74
2021-09-01 00:10:00+00:00,25.59,8.96,6.14,6.14,5.68,7.17,7.17,7.7
2021-09-01 00:12:00+00:00,22.95,8.72,5.6,5.6,6.91,7.36,7.36,7.89
2021-09-01 00:14:00+00:00,25.45,8.79,4.96,4.96,5.77,8.43,8.43,7.58
2021-09-01 00:16:00+00:00,23.63,8.6,5.54,5.54,6.57,7.95,7.95,7.81
2021-09-01 00:18:00+00:00,23.26,8.91,5.84,5.84,6.08,7.91,7.91,7.73
2021-09-01 00:20:00+00:00,22.77,7.98,5.04,5.04,5.88,8.77,8.77,7.69
2021-09-01 00:22:00+00:00,23.18,8.34,6.17,6.17,7.09,8.16,8.16,7.567500000000001
2021-09-01 00:24:00+00:00,23.67,8.47,5.48,5.48,6.44,8.39,8.39,7.445
2021-09-01 00:26:00+00:00,23.19,8.46,5.07,5.07,6.46,7.66,7.66,7.8
2021-09-01 00:28:00+00:00,24.03,9.12,5.58,5.58,6.91,9.56,9.56,6.84
2021-09-01 00:30:00+00:00,24.12,7.8,5.87,5.87,5.82,9.47,9.47,7.41
2021-09-01 00:32:00+00:00,22.75,7.74,6.46,6.46,6.05,10.05,10.05,7.38
2021-09-01 00:34:00+00:00,23.86,8.69,5.51,5.51,5.77,10.12,10.12,7.27
2021-09-01 00:36:00+00:00,23.32,7.91,5.29,5.29,5.22,8.66,8.66,7.84
2021-09-01 00:38:00+00:00,24.24,9.1,5.18,5.18,6.0,7.98,7.98,7.7575
2021-09-01 00:40:00+00:00,26.12,7.73,5.24,5.24,5.86,7.43,7.43,7.675
2021-09-01 00:42:00+00:00,24.81,8.43,5.28,5.28,6.89,7.24,7.24,7.56
2021-09-01 00:44:00+00:00,25.96,8.02,5.51,5.51,7.63,7.58,7.58,7.59
2021-09-01 00:46:00+00:00,25.76,7.39,5.15,5.15,6.89,7.89,7.89,7.55
2021-09-01 00:48:00+00:00,28.86,8.42,5.26,5.26,7.21,8.39,8.39,7.58
2021-09-01 00:50:00+00:00,29.09,7.85,4.65,4.65,7.5,6.92,6.92,8.0
2021-09-01 00:52:00+00:00,26.52,7.95,5.32,5.32,6.12,7.15,7.15,7.43
2021-09-01 00:54:00+00:00,26.91,8.4,5.88,5.88,6.7,6.81,6.81,6.9275
2021-09-01 00:56:00+00:00,29.84,8.55,5.12,5.12,5.68,7.36,7.36,6.425000000000001
2021-09-01 00:58:00+00:00,28.36,8.46,5.35,5.35,6.32,6.55,6.55,6.83
2021-09-01 01:00:00+00:00,27.77,9.95,5.59,5.59,6.2,6.1,6.1,7.36
2021-09-01 01:02:00+00:00,27.21,10.43,4.9,4.9,6.56,6.6,6.6,6.61
2021-09-01 01:04:00+00:00,28.65,9.27,6.45,6.45,5.73,6.7,6.7,6.53
2021-09-01 01:06:00+00:00,28.58,9.79,5.66,5.66,5.93,7.74,7.74,5.91
2021-09-01 01:08:00+00:00,28.68,11.05,4.55,4.55,6.07,6.81,6.81,7.23
2021-09-01 01:10:00+00:00,27.45,10.32,5.54,5.54,6.16,7.34,7.34,6.78
2021-09-01 01:12:00+00:00,28.35,10.6,4.97,4.97,5.72,7.18,7.18,6.33
2021-09-01 01:14:00+00:00,27.85,10.21,6.02,6.02,7.75,7.45,7.45,6.96
2021-09-01 01:16:00+00:00,29.16,9.63,5.91,5.91,7.45,7.62,7.62,6.62
2021-09-01 01:18:00+00:00,30.48,7.7,5.7,5.7,6.91,8.07,8.07,6.32
2021-09-01 01:20:00+00:00,28.85,9.23,5.18,5.18,7.19,8.05,8.05,6.64
2021-09-01 01:22:00+00:00,28.28,9.45,5.31,5.31,7.81,8.66,8.66,7.0
2021-09-01 01:24:00+00:00,30.48,10.59,5.29,5.29,7.0,9.52,9.52,5.91
2021-09-01 01:26:00+00:00,29.37,9.28,5.93,5.93,7.39,8.68,8.68,6.27
2021-09-01 01:28:00+00:00,31.02,9.86,5.48,5.48,6.66,8.19,8.19,6.63
2021-09-01 01:30:00+00:00,30.11,10.02,4.95,4.95,7.55,8.29,8.29,6.77
2021-09-01 01:32:00+00:00,30.64,10.54,4.73,4.73,8.32,7.89,7.89,6.72
2021-09-01 01:34:00+00:00,31.41,10.05,5.24,5.24,7.91,7.91,7.91,6.67
